id;date;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;sqft_living15;sqft_lot15
7129300520;13.10.2014;2219000;3;10;1180;5650;10;0;0;3;7;1180;0;1955;0;98178;475112;-122257;1340;5650
6414100192;09.12.2014;5380000;3;225;2570;7242;20;0;0;3;7;2170;400;1951;1991;98125;47721;-122319;1690;7639
5631500400;25.02.2015;1800000;2;10;770;10000;10;0;0;3;6;770;0;1933;0;98028;477379;-122233;2720;8062
2487200875;09.12.2014;6040000;4;30;1960;5000;10;0;0;5;7;1050;910;1965;0;98136;475208;-122393;1360;5000
1954400510;18.02.2015;5100000;3;20;1680;8080;10;0;0;3;8;1680;0;1987;0;98074;476168;-122045;1800;7503
7237550310;12.05.2014;12250000;4;45;5420;101930;10;0;0;3;11;3890;1530;2001;0;98053;476561;-122005;4760;101930
1321400060;27.06.2014;2575000;3;225;1715;6819;20;0;0;3;7;1715;0;1995;0;98003;473097;-122327;2238;6819
2008000270;15.01.2015;2918500;3;15;1060;9711;10;0;0;3;7;1060;0;1963;0;98198;474095;-122315;1650;9711
2414600126;15.04.2015;2295000;3;10;1780;7470;10;0;0;3;7;1050;730;1960;0;98146;475123;-122337;1780;8113
3793500160;12.03.2015;3230000;3;25;1890;6560;20;0;0;3;7;1890;0;2003;0;98038;473684;-122031;2390;7570
1736800520;03.04.2015;6625000;3;25;3560;9796;10;0;0;3;8;1860;1700;1965;0;98007;476007;-122145;2210;8925
9212900260;27.05.2014;4680000;2;10;1160;6000;10;0;0;4;7;860;300;1942;0;98115;4769;-122292;1330;6000
114101516;28.05.2014;3100000;3;10;1430;19901;15;0;0;4;7;1430;0;1927;0;98028;477558;-122229;1780;12697
6054650070;07.10.2014;4000000;3;175;1370;9680;10;0;0;4;7;1370;0;1977;0;98074;476127;-122045;1370;10208
1175000570;12.03.2015;5300000;5;20;1810;4850;15;0;0;3;7;1810;0;1900;0;98107;4767;-122394;1360;4850
9297300055;24.01.2015;6500000;4;30;2950;5000;20;0;3;3;9;1980;970;1979;0;98126;475714;-122375;2140;4000
1875500060;31.07.2014;3950000;3;20;1890;14040;20;0;0;3;7;1890;0;1994;0;98019;477277;-121962;1890;14018
6865200140;29.05.2014;4850000;4;10;1600;4300;15;0;0;4;7;1600;0;1916;0;98103;476648;-122343;1610;4300
